"公司代號","公司簡稱","財務結構-負債佔資產比率(%)","財務結構-長期資金佔不動產、廠房及設備比率(%)","償債能力-流動比率(%)","償債能力-速動比率(%)","償債能力-利息保障倍數(%)","經營能力-應收款項週轉率(次)","經營能力-平均收現日數","經營能力-存貨週轉率(次)","經營能力-平均售貨日數","經營能力-不動產、廠房及設備週轉率(次)","經營能力-總資產週轉率(次)","獲利能力-資產報酬率(%)","獲利能力-權益報酬率(%)","獲利能力-稅前純益佔實收資本比率(%)","獲利能力-純益率(%)","獲利能力-每股盈餘(元)","現金流量-現金流量比率(%)","現金流量-現金流量允當比率(%)","現金流量-現金再投<br>資比率(%)"
"1236","宏亞",38.43,144.42,144.97,95.67,4.64,4.21,86.69,5.24,69.65,1.20,0.67,0.71,0.90,1.63,0.85,0.15,25.03,101.47,2.43
"1310","台苯",22.30,188.22,178.02,142.51,125.10,13.56,26.91,18.94,19.27,3.01,1.23,8.97,11.80,19.60,7.22,1.67,52.39,129.38,-0.73
"1337","再生-KY",7.78,213.16,607.08,552.35,-69.42,4.56,80.04,6.26,58.30,0.36,0.16,-7.67,-7.58,-9.18,-51.02,-2.39,64.40,149.37,-3.35
"1452","宏益",7.60,370.73,1198.86,996.43,4746.49,6.77,53.91,4.95,73.73,2.70,0.70,6.42,7.04,16.10,9.18,1.33,86.92,102.09,-1.53
"1456","怡華",76.13,5721.68,167.90,21.94,142.20,6.69,54.55,0.33,1106.06,17.62,0.21,1.46,2.15,2.73,2.40,0.27,0.03,0.10,0.01
"1528","恩德",52.91,230.97,150.62,86.08,-6.67,3.38,107.98,1.98,184.34,3.66,0.77,-4.51,-10.97,-13.85,-6.56,-1.39,21.42,22.11,14.52
"1560","中砂",41.89,177.14,177.74,92.81,9833.66,5.84,62.50,2.59,140.92,1.51,0.67,7.49,11.78,48.67,11.08,3.81,58.62,68.45,5.65
"1582","信錦",42.95,509.07,202.08,177.59,7125.43,2.46,148.37,8.47,43.09,7.00,0.86,10.38,16.72,116.79,10.98,7.61,29.75,116.61,4.96
"1626","艾美特-KY",66.19,213.42,104.29,61.01,4.67,5.78,63.14,3.88,94.07,5.38,1.14,3.78,9.23,23.59,2.48,2.05,29.97,236.35,36.03
"1707","葡萄王",34.23,132.47,109.11,86.89,138.94,48.63,7.50,2.91,125.42,1.49,0.84,17.75,26.92,179.04,20.98,9.63,77.27,89.90,7.10
"1713","國化",6.27,653.51,2729.86,2285.05,0.00,5.64,64.71,3.36,108.63,1.66,0.24,3.91,4.18,6.51,16.26,0.64,-13.14,6.90,-4.00
"1731","美吾華",35.74,457.90,238.05,208.75,26.24,1.60,228.12,2.10,173.80,2.45,0.40,3.87,5.78,10.14,9.13,0.76,32.85,108.86,6.56
"1773","勝一",29.61,149.61,117.44,71.50,239.21,6.51,56.06,6.16,59.25,2.64,1.15,13.58,18.19,72.37,11.79,5.90,60.12,84.55,4.90
"1906","寶隆",32.17,11429.58,12.84,11.89,8.72,18.01,20.26,59.96,6.08,34.26,0.22,2.35,3.20,8.73,9.53,0.80,4.18,131.14,-0.34
"1909","榮成",68.28,97.21,67.34,46.69,1.29,4.07,89.68,11.44,31.90,1.12,0.69,2.67,2.28,3.06,1.05,0.45,20.56,43.20,9.98
"2006","東和鋼鐵",49.04,162.97,146.83,32.32,7.80,13.46,27.11,2.75,132.72,2.22,0.94,3.73,6.45,21.14,3.47,1.56,24.46,29.59,4.83
"2014","中鴻",52.17,174.95,108.31,24.69,1.08,49.23,7.41,5.23,69.78,3.13,1.26,0.34,0.07,0.07,0.02,0.01,29.55,167.45,5.03
"2024","志聯",46.37,116.03,121.96,61.32,2.36,5.12,71.28,2.18,167.43,1.04,0.56,1.33,1.47,2.16,1.39,0.18,18.55,83.13,4.57
"2032","新鋼",16.18,318.03,980.96,749.46,106.48,4.68,77.99,8.84,41.28,4.87,1.43,2.41,2.86,4.42,1.67,0.36,79.85,106.41,3.28
"2033","佳大",17.80,214.72,244.87,145.54,14.47,4.39,83.14,3.27,111.62,1.76,0.67,3.13,3.67,4.53,4.38,0.45,37.35,172.53,4.10
"2101","南港",61.26,146.42,113.93,57.66,10.95,4.82,75.72,1.07,341.12,1.34,0.44,4.87,10.77,16.01,10.22,1.42,27.48,71.21,14.37
"2108","南帝",18.04,377.56,496.42,412.25,774.91,7.86,46.43,9.08,40.19,5.03,1.19,14.25,17.39,41.23,11.96,2.89,134.37,196.90,7.39
"2115","六暉-KY",44.52,243.85,203.02,153.18,27.62,4.10,89.02,3.44,106.10,2.90,0.72,6.67,10.68,40.18,8.90,2.81,21.06,76.15,5.53
"2330","台積電",28.38,123.79,139.25,124.92,120.92,7.95,45.91,6.20,58.87,0.88,0.49,15.99,20.94,150.34,32.28,13.32,104.13,106.60,8.45
"2337","旺宏",46.43,152.77,170.23,87.52,16.37,7.44,49.05,1.65,221.21,1.44,0.58,5.30,9.44,16.45,8.61,1.64,28.76,77.63,1.58
"2412","中華電",19.07,145.62,146.18,116.31,40189.29,6.75,54.07,3.03,120.46,0.72,0.44,7.17,8.74,53.82,16.27,4.23,112.55,105.88,3.52
"2420","新巨",46.87,342.24,161.04,111.62,28.20,5.33,68.48,2.25,162.22,2.03,0.45,8.78,15.73,40.11,18.28,3.19,49.49,120.96,5.54
"2439","美律",49.94,729.40,167.10,143.42,42.04,5.10,71.56,11.39,32.04,17.04,1.29,11.02,22.24,155.57,6.95,12.51,46.25,152.97,16.47
"2442","新美齊",66.25,878.95,153.66,56.88,9.35,25.13,14.52,0.88,414.77,7.67,0.45,3.63,8.37,15.35,7.27,0.71,-57.17,-35.91,-76.22
"2448","晶電",19.64,251.42,289.57,229.54,-22.50,1.63,223.92,3.39,107.66,0.74,0.26,-6.23,-8.03,-34.48,-24.67,-3.48,35.90,145.26,2.91
"2450","神腦",41.77,720.34,186.64,131.19,33.65,16.24,22.47,13.30,27.44,31.01,2.91,4.26,7.01,18.58,1.42,1.59,14.85,120.34,2.19
"2451","創見",8.46,807.96,1026.37,432.06,1121.51,7.44,49.05,3.96,92.17,5.36,0.63,8.04,8.78,48.51,12.81,4.01,69.36,84.50,-6.19
"2457","飛宏",48.45,224.54,191.81,147.81,-0.82,5.03,72.56,5.29,68.99,3.76,1.07,-0.20,-0.76,-1.25,-0.36,-0.11,16.36,8.21,5.53
"2483","百容",34.92,180.25,144.14,114.47,18.00,4.61,79.17,3.92,93.11,1.25,0.48,4.53,6.62,15.71,8.96,1.44,9.62,42.70,2.82
"2488","漢平",31.81,561.21,329.76,291.93,324.46,7.84,46.55,6.58,55.47,5.91,0.83,9.30,13.66,45.69,11.14,3.50,33.78,138.62,1.29
"2492","華新科",39.24,243.63,178.16,150.86,105.01,2.70,135.18,3.68,99.18,1.77,0.48,11.56,19.40,184.57,23.49,13.72,80.38,110.94,7.69
"3004","豐達科",61.56,111.67,127.71,66.41,16.49,4.93,74.03,2.64,138.25,0.86,0.59,7.82,19.33,86.96,12.46,6.66,46.66,41.83,7.43
"3011","今皓",40.80,296.66,181.41,128.41,-22.25,2.55,143.13,3.68,99.18,3.82,0.76,-4.58,-8.00,-7.59,-6.52,-0.78,4.30,35.52,1.40
"3014","聯陽",24.67,670.97,321.06,286.01,335.61,7.03,51.92,3.80,96.05,5.71,0.71,10.48,13.62,42.19,14.68,3.38,86.12,116.36,13.49
"3026","禾伸堂",31.90,311.16,237.57,178.04,5823.00,4.88,74.79,4.58,79.69,4.84,1.03,4.69,6.68,60.01,4.53,5.02,35.94,117.86,0.85
"3029","零壹",53.55,772.16,180.41,126.59,214.40,4.54,80.39,7.09,51.48,28.39,1.85,7.29,15.07,32.08,3.92,2.85,16.57,116.34,7.97
"3030","德律",18.06,252.09,450.36,370.45,825.54,2.13,171.36,2.03,179.80,2.05,0.67,14.42,17.50,49.15,21.40,3.97,143.45,73.64,7.81
"3040","遠見",10.45,1857.60,1081.85,1020.52,130.64,18.51,19.71,3.86,94.55,5.13,0.13,5.77,6.39,18.07,42.66,1.36,172.73,18.34,-1.86
"3130","一零四",42.02,674.70,217.69,216.28,21497.07,34.12,10.69,0.00,"*****",6.90,0.65,11.49,19.16,101.21,17.55,8.62,45.72,125.82,9.47
"3296","勝德",31.99,706.68,283.90,238.22,12.00,4.18,87.32,7.84,46.55,12.73,1.21,1.24,1.68,3.66,0.93,0.27,48.47,120.22,9.46
"2528","皇普",66.44,222110.57,968.97,162.89,-81.24,0.24,1520.83,0.00,"*****",0.37,0.00,-1.24,-3.46,-2.53,-6924.47,-0.38,"NA","NA","NA"
"2613","中櫃",73.86,227.19,83.19,70.30,2.66,5.39,67.71,"NA","NA",0.64,0.32,0.68,1.17,3.55,1.23,0.27,39.27,37.88,7.79
"2633","台灣高鐵",83.96,343695.33,321.64,296.44,2.20,113.29,3.22,"NA","NA",425.82,0.11,3.35,11.40,13.81,16.85,1.42,214.98,320.17,68.81
"2637","慧洋-KY",66.28,95.11,33.38,30.78,2.22,74.43,4.90,64.44,5.66,0.18,0.16,4.57,7.66,32.16,15.89,3.38,42.59,118.86,6.04
"2712","遠雄來",20.59,89.35,44.72,39.80,-731.30,47.12,7.74,22.23,16.41,0.31,0.29,-0.95,-1.34,-1.57,-3.76,-0.15,13.65,93.40,1.70
"2809","京城銀",85.52,"NA","NA","NA","NA","NA","NA","NA","NA",3.33,0.03,1.21,8.93,34.51,40.03,2.99,"NA","NA","NA"
"2812","台中銀",92.28,"NA","NA","NA","NA","NA","NA","NA","NA",1.20,0.02,0.63,8.72,14.04,35.71,1.16,"NA","NA","NA"
"2849","安泰銀",88.99,"NA","NA","NA","NA","NA","NA","NA","NA","NA",2.08,0.67,6.21,12.55,32.46,1.13,"NA","NA","NA"
"2887","台新金",91.19,"NA","NA","NA","NA","NA","NA","NA","NA","NA",0.02,0.76,9.54,14.20,33.19,1.19,"NA","NA","NA"
"2888","新光金",95.09,"NA","NA","NA","NA","NA","NA","NA","NA",8.70,0.07,0.44,9.79,12.06,6.00,1.34,"NA","NA","NA"
"3413","京鼎",47.93,335.24,207.58,154.21,3456.02,6.68,54.64,3.68,99.18,4.50,0.90,8.35,15.17,96.49,8.89,7.85,44.03,107.85,10.62
"3416","融程電",13.12,446.17,462.22,367.04,763.06,8.25,44.24,3.85,94.80,3.39,0.67,9.69,11.37,39.80,14.48,3.34,84.56,81.45,6.13
"3443","創意",48.29,478.63,181.84,117.78,235.67,9.20,39.67,4.70,77.65,10.34,1.30,7.73,14.60,58.44,5.91,4.73,2.97,76.47,-9.44
"3454","晶睿",37.04,318.65,237.66,141.40,3307.65,8.46,43.14,3.72,98.11,6.49,1.45,5.54,8.39,35.49,3.68,3.19,61.88,63.33,15.93
"3504","揚明光",44.81,170.46,140.36,112.65,1.19,5.06,72.13,5.24,69.65,2.13,0.81,0.43,0.15,0.43,0.11,0.04,25.65,53.76,9.05
"3532","台勝科",10.61,191.94,601.43,443.71,2557.47,4.81,75.88,2.96,123.31,1.06,0.48,8.93,10.08,68.81,18.27,5.48,224.04,152.51,1.79
"3563","牧德",32.89,802.00,263.06,216.40,525.73,1.96,186.22,2.94,124.14,10.04,0.78,26.66,40.19,247.04,34.08,20.01,17.10,94.78,8.28
"3583","辛耘",27.81,213.41,243.12,153.81,256.61,4.80,76.04,3.62,100.82,3.22,1.05,8.60,12.60,49.72,8.17,4.02,23.18,121.34,0.07
"3591","艾笛森",24.79,213.86,242.41,205.03,-24.15,4.98,73.29,5.29,68.99,1.58,0.62,-7.34,-9.97,-23.13,-12.29,-2.39,29.27,159.86,6.05
"3645","達邁",49.22,116.97,131.84,87.13,963.95,4.05,90.12,3.19,114.42,0.59,0.39,2.36,3.74,10.54,5.23,0.82,41.41,70.66,3.40
"3679","新至陞",49.32,379.15,299.43,274.28,16.98,2.88,126.73,6.32,57.75,2.49,0.52,4.74,8.58,68.15,8.53,5.42,28.23,109.29,3.89
"3686","達能",26.07,42431.23,965.61,950.06,-75.00,"*****","*****",17.62,20.71,0.40,0.11,-14.77,-19.18,-17.50,-158.32,-1.75,-64.92,52.61,0.00
"3698","隆達",24.57,264.22,265.65,217.50,-1330.01,3.06,119.28,5.54,65.88,1.98,0.59,-2.26,-3.24,-7.04,-4.03,-0.61,29.11,119.81,3.43
"3708","上緯投控",42.46,446.34,240.85,217.91,19.81,1.85,197.29,9.45,38.62,4.14,0.69,9.82,15.73,122.96,13.46,8.97,18.44,90.28,1.42
"3711","日月光投控",61.49,174.24,132.66,100.83,6.58,5.22,69.92,9.87,36.98,1.85,0.76,3.93,8.30,53.95,4.37,3.86,47.49,109.06,8.24
"4108","懷特",6.92,414.00,912.02,753.80,-76305.22,12.57,29.03,0.25,1460.00,0.21,0.05,-10.36,-11.08,-12.52,-214.45,-1.04,-120.37,-389.21,-6.18
"4137","麗豐-KY",46.26,368.73,191.09,175.94,3506.51,1780.62,0.20,1.79,203.91,3.76,0.70,20.27,33.71,249.36,27.86,18.02,58.94,129.34,17.09
"4555","氣立",34.83,141.67,151.38,79.64,5.01,3.45,105.79,1.15,317.39,0.75,0.35,1.71,2.11,9.22,4.00,0.66,25.00,48.56,4.30
"4557","永新-KY",27.93,283.51,257.16,213.57,59.67,2.57,142.02,4.04,90.34,2.89,0.82,9.98,13.79,58.57,11.92,5.41,63.17,98.34,8.43
"4564","元翎",44.69,141.73,183.92,149.54,11.26,5.27,69.25,5.79,63.03,0.53,0.36,7.14,12.04,33.48,18.20,2.80,100.46,113.05,4.15
"4915","致伸",72.71,265.94,117.16,81.39,15.35,4.43,82.39,7.80,46.79,12.53,1.67,5.04,15.36,64.96,2.81,4.80,19.75,85.02,22.43
"4952","凌通",25.64,418.68,358.24,287.59,35.87,5.28,69.12,4.44,82.20,4.93,0.95,8.30,10.90,22.62,8.49,2.05,60.58,97.00,2.52
"4968","立積",42.58,1271.43,217.68,156.57,178.92,4.13,88.37,3.32,109.93,28.22,1.29,8.99,15.00,39.34,6.94,3.13,23.29,87.21,9.75
"4994","傳奇",33.84,18465.16,277.06,272.43,62293.29,13.22,27.60,"NA","NA",309.06,2.05,27.49,40.39,56.15,13.35,4.48,119.67,128.60,61.48
"4999","鑫禾",14.43,332.37,543.86,482.19,1355.43,2.12,172.16,5.22,69.92,2.12,0.56,5.15,6.19,36.58,9.21,2.78,80.60,105.43,3.28
"5203","訊連",23.92,863.94,421.14,416.30,389928.69,12.68,28.78,24.93,14.64,3.01,0.26,7.11,9.47,56.22,26.12,4.53,-2.64,141.80,-0.54
"5234","達興材料",31.77,220.41,227.53,199.21,206.51,3.26,111.96,10.62,34.36,3.38,1.13,16.39,23.96,73.20,14.35,6.33,75.70,112.72,8.04
"5264","鎧勝-KY",40.82,173.23,183.04,149.09,249.71,4.94,73.88,5.64,64.71,1.42,0.61,-0.71,-1.99,8.97,-1.93,-1.50,42.16,76.52,9.84
"5269","祥碩",25.20,1144.60,334.05,298.18,2234.91,5.46,66.84,4.54,80.39,19.52,1.12,28.96,39.32,193.48,25.77,16.08,172.43,144.91,25.42
"6112","聚碩",41.48,510.97,231.15,122.57,36.94,5.94,61.44,3.86,94.55,13.22,1.70,5.90,11.64,27.47,3.37,2.58,-16.15,47.08,-12.14
"6120","達運",44.46,194.11,237.52,208.12,-3.51,3.91,93.35,9.83,37.13,1.99,0.73,-0.67,-1.66,-3.72,-1.20,-0.29,21.48,73.52,3.50
"6155","鈞寶",33.43,459.74,211.27,190.60,1621.00,2.95,123.72,2.52,144.84,1.94,0.29,3.83,5.66,11.13,12.36,0.93,19.35,113.90,2.54
"6183","關貿",23.97,336.37,255.93,245.62,1028.08,3.21,113.70,0.02,18250.00,2.43,0.60,10.13,13.48,24.03,17.00,1.96,61.95,94.38,3.62
"6201","亞弘電",24.70,451.47,380.63,260.44,33363.66,6.30,57.93,3.66,99.72,5.86,0.99,7.34,9.85,33.66,7.40,2.69,23.60,48.74,-0.80
"6202","盛群",24.00,905.00,427.00,353.00,775.00,5.60,65.17,3.51,103.98,10.80,0.85,17.00,22.00,47.00,20.00,4.05,96.00,94.00,-3.00
"6235","華孚",55.38,135.66,92.21,74.97,-12.51,2.11,172.98,6.26,58.30,1.67,0.51,-10.93,-24.86,-30.13,-23.04,-3.00,0.00,11.10,0.00
"6269","台郡",36.36,359.40,319.06,287.39,46.39,3.74,97.59,5.80,62.93,4.02,0.84,10.39,15.33,119.59,12.11,10.02,-1.75,87.68,-5.30
"6281","全國電",67.94,1202.38,139.68,61.80,21.78,118.18,3.08,6.21,58.77,51.77,2.89,7.61,18.19,55.76,2.51,4.44,52.96,119.08,24.89
"6409","旭隼",52.81,234.04,143.57,120.72,51.82,6.34,57.57,9.30,39.24,7.47,1.47,24.72,47.05,314.01,16.47,25.87,56.91,102.93,26.71
"6477","安集",57.85,1455.17,192.19,126.42,6.02,5.63,64.83,3.26,111.96,4.36,0.37,5.76,11.45,24.94,13.33,2.21,12.10,6.66,0.20
"6491","晶碩",23.65,136.02,167.20,118.97,30.04,15.05,24.25,2.76,132.24,1.32,0.71,10.38,15.69,80.12,14.17,7.62,65.00,68.86,11.46
"6504","南六",67.44,237.00,124.14,84.99,2794.00,4.71,77.49,5.41,67.46,2.61,0.74,6.18,17.05,108.92,8.03,7.25,23.69,66.15,4.77
"6505","台塑化",16.09,353.39,616.10,427.46,76.68,11.93,30.59,9.87,36.98,6.16,1.61,9.26,10.89,47.13,5.69,3.86,119.39,163.89,-0.27
"6533","晶心科",15.51,4590.06,970.38,944.01,9.00,5.20,70.19,0.47,776.59,20.31,0.38,1.36,1.36,4.18,3.24,0.38,29.16,6.37,0.12
"6579","研揚",14.07,1416.98,389.68,309.07,140.45,7.51,48.60,3.75,97.33,10.12,0.63,6.93,8.01,55.92,10.87,5.17,59.91,121.74,1.49
"6581","鋼聯",24.23,142.91,323.64,287.31,276.59,9.84,37.09,8.04,45.39,0.61,0.36,8.77,11.34,47.08,24.16,3.58,176.75,77.65,1.50
"6666","羅麗芬-KY",15.82,770.64,499.92,464.98,5751.90,207.67,1.75,7.03,51.92,6.58,0.66,23.06,28.07,120.14,34.42,10.50,5.20,129.36,-14.77
"8021","尖點",24.52,281.18,452.97,402.21,22.91,2.37,154.00,4.49,81.29,1.57,0.50,3.49,4.44,23.28,6.75,1.34,107.63,170.91,7.49
"8028","昇陽半導體",54.27,182.26,249.42,224.86,21.41,7.08,51.55,5.57,65.52,1.35,0.61,7.99,13.46,31.44,11.97,2.51,64.55,66.95,7.14
"8112","至上",70.65,4369.80,153.30,108.78,4.11,7.97,45.79,13.09,27.88,438.26,3.78,6.52,16.53,49.73,1.29,3.41,15.00,"NA",13.00
"8150","南茂",42.72,163.54,239.96,202.73,18.71,4.42,82.57,9.00,40.55,1.17,0.60,8.07,13.70,41.67,12.71,3.55,122.26,85.76,6.27
"8222","寶一",39.11,190.19,200.74,106.83,11.78,6.42,56.85,1.54,237.01,1.34,0.52,3.26,4.86,8.11,5.78,0.65,26.49,122.23,4.52
"8271","宇瞻",34.38,325.92,222.13,154.75,9516.04,7.20,50.69,5.71,63.92,8.48,1.75,8.90,13.69,47.46,5.03,3.73,63.33,101.83,21.42
"8341","日友",47.88,136.29,156.50,143.65,6435.37,10.02,36.42,23.74,15.37,0.97,0.51,19.58,33.76,110.91,37.90,8.91,153.74,104.28,18.93
"8454","富邦媒",57.69,165.57,102.38,68.68,202.77,48.23,7.56,21.08,17.31,11.72,3.86,10.44,22.56,122.87,2.69,9.95,38.47,77.11,37.29
"8940","新天地",60.41,154.09,95.26,79.93,1.92,29.42,12.40,8.90,41.01,1.19,0.70,0.46,-0.09,1.88,-0.05,-0.26,68.26,93.06,13.61
"9105","泰金寶-DR",70.38,150.32,116.24,74.93,177.78,4.84,75.41,6.51,56.06,7.14,1.74,0.65,2.31,11.71,0.37,0.08,18.03,122.58,21.83
"911622","泰聚亨-DR",34.08,135.52,128.24,48.22,1499.11,13.48,27.07,5.08,71.85,2.75,1.36,-13.54,-21.52,-16.20,-10.43,-1.69,10.20,108.21,2.38
"9919","康那香",59.59,174.49,198.89,134.47,1.36,3.74,97.59,3.75,97.33,1.74,0.72,0.85,0.50,0.85,0.30,0.06,2.52,146.02,0.00
"9933","中鼎",72.16,282.56,135.90,127.88,10.46,7.54,48.40,"NA","NA",5.24,0.80,1.87,7.00,29.22,2.02,1.54,24.58,103.91,19.25